"ID"	"Order"	"Family"	"Species"	"Longitude"	"Latitude"
1	"Rodentia"	"Dasyproctidae"	"Dasyprocta punctata"	-75.654217	4.579563
2	"Carnivora"	"Canidae"	"Cerdocyon thous"	-75.818724	4.843859
3	"Primates"	"Atelidae"	"Alouatta seniculus"	-75.55457	4.712792
4	"Chiroptera"	"Phyllostomidae"	"Artibeus aequatorialis"	-76.082184	4.335953
5	"Chiroptera"	"Phyllostomidae"	"Carollia castanea"	-76.070787	4.188147
6	"Chiroptera"	"Phyllostomidae"	"Artibeus lituratus"	-76.296155	3.836078
7	"Chiroptera"	"Phyllostomidae"	"Glossophaga soricina"	-76.070787	4.188147
8	"Chiroptera"	"Phyllostomidae"	"Carollia perspicillata"	-76.082319	4.335562
9	"Chiroptera"	"Phyllostomidae"	"Artibeus lituratus"	-76.298204	3.836285
10	"Chiroptera"	"Phyllostomidae"	"Carollia castanea"	-76.070787	4.188147
11	"Chiroptera"	"Phyllostomidae"	"Carollia perspicillata"	-76.08442	4.333299
12	"Chiroptera"	"Phyllostomidae"	"Glossophaga soricina"	-76.079597	4.196815
13	"Chiroptera"	"Phyllostomidae"	"Artibeus aequatorialis"	-76.084288	4.333439
14	"Chiroptera"	"Phyllostomidae"	"Desmodus rotundus"	-76.082401	4.335499
15	"Chiroptera"	"Phyllostomidae"	"Glossophaga soricina"	-76.07923	4.197388
16	"Chiroptera"	"Phyllostomidae"	"Carollia perspicillata"	-76.070873	4.188211
17	"Chiroptera"	"Phyllostomidae"	"Carollia perspicillata"	-76.081978	4.335287
18	"Chiroptera"	"Vespertilionidae"	"Myotis riparius"	-76.082264	4.335337
19	"Chiroptera"	"Phyllostomidae"	"Artibeus lituratus"	-76.298204	3.836285
20	"Chiroptera"	"Phyllostomidae"	"Artibeus lituratus"	-76.070645	4.188092
21	"Chiroptera"	"Phyllostomidae"	"Carollia perspicillata"	-76.070787	4.188147
22	"Chiroptera"	"Phyllostomidae"	"Artibeus lituratus"	-76.071032	4.187396
23	"Chiroptera"	"Phyllostomidae"	"Glossophaga soricina"	-76.07053	4.188017
24	"Chiroptera"	"Phyllostomidae"	"Uroderma bakeri"	-76.296356	3.836028
25	"Chiroptera"	"Phyllostomidae"	"Desmodus rotundus"	-76.082184	4.335953
26	"Chiroptera"	"Phyllostomidae"	"Sturnira luisi"	-76.070973	4.188159
27	"Chiroptera"	"Phyllostomidae"	"Dermanura phaeotis"	-76.079803	4.1965
28	"Chiroptera"	"Phyllostomidae"	"Artibeus lituratus"	-76.079659	4.196714
29	"Chiroptera"	"Phyllostomidae"	"Artibeus lituratus"	-76.109854	4.497951
30	"Chiroptera"	"Phyllostomidae"	"Glossophaga soricina"	-76.295446	3.836452
31	"Chiroptera"	"Phyllostomidae"	"Artibeus aequatorialis"	-76.082184	4.335953
32	"Chiroptera"	"Phyllostomidae"	"Glossophaga soricina"	-76.296155	3.836078
