"Y";"X"
4,459367;-75,322415
4,579233;-75,271759
4,604998;-75,263978
3,790184;-74,681363
3,242856;-75,976542
4,211249;-75,422341
4,144157;-75,630903
4,781405;-75,328146
3,572417;-75,969528
3,757694;-75,698056
3,599417;-75,912889
3,878556;-75,833389
3,715167;-75,896389
3,724917;-75,788028
3,717333;-75,8885
3,570806;-75,957722
3,730333;-75,775389
3,84942;-75,8529
3,89075;-75,858556
3,707833;-75,941861
3,888417;-75,855833
3,6885;-75,858694
3,636722;-75,926222
3,593861;-75,939694
3,361611;-76,038722
3,584194;-75,955722
3,797722;-75,840028
3,570944;-75,9741
3,709778;-75,728111
3,570944;-75,973194
3,801611;-75,839639
3,935444;-75,734556
3,829472;-75,852333
3,933833;-75,735722
3,719472;-75,898806
3,737861;-75,780056
3,683639;-75,706972
3,706556;-75,939722
3,636611;-75,955561
3,75225;-75,698722
3,829778;-75,855639
3,571667;-75,974139
3,634833;-75,960361
3,892167;-75,832306
3,705972;-75,944833
3,729639;-75,779139
3,755167;-75,698056
3,888889;-75,833667
3,823361;-75,857389
3,84175;-75,857889
3,7055;-75,935194
3,884667;-75,832889
3,734833;-75,779389
3,707861;-75,72425
3,601306;-75,913944
3,649639;-75,943222
3,812444;-75,833556
4,068417;-75,630667
