"id_punto"	"Latitude"	"Longitude"
1	4,539	-75,256
2	4,541	-75,25
3	4,539	-75,249
4	4,56	-75,25
5	4,557	-75,251
6	4,556	-75,256
7	4,569	-75,244
8	4,566	-75,247
9	4,567	-75,245
10	4,614	-75,283
11	4,618	-75,292
12	4,623	-75,294
13	4,623	-75,292
14	4,64	-75,301
15	4,64	-75,295
16	4,662	-75,251
17	4,664	-75,249
18	4,669	-75,247
19	4,675	-75,239
20	4,597	-75,395
21	4,591	-75,408
22	4,259	-75,574
23	4,261	-75,571
24	4,264	-75,56
25	4,266	-75,555
26	4,274	-75,552
27	4,289	-75,543
28	4,071	-75,722
29	4,062	-75,721
30	4,068	-75,746
31	4,074	-75,741
32	4	-75,696
33	3,999	-75,715
34	4,022	-75,722
35	4,021	-75,719
36	4,026	-75,725
37	3,293	-75,883
38	3,291	-75,881
39	3,291	-75,913
40	3,287	-75,913
48	4,1849	-75,4625
50	4,5953	-75,3208
51	4,6009	-75,3021
52	4,459367	-75,322415
53	4,579233	-75,271759
54	4,604998	-75,263978
56	3,242856	-75,976542
57	4,211249	-75,422341
58	4,144157	-75,630903
59	4,781405	-75,328146
60	3,572417	-75,969528
61	3,757694	-75,698056
62	3,599417	-75,912889
63	3,878556	-75,833389
64	3,715167	-75,896389
65	3,724917	-75,788028
66	3,717333	-75,8885
67	3,570806	-75,957722
68	3,730333	-75,775389
69	3,84942	-75,8529
70	3,89075	-75,858556
71	3,707833	-75,941861
72	3,888417	-75,855833
73	3,6885	-75,858694
74	3,636722	-75,926222
75	3,593861	-75,939694
76	3,361611	-76,038722
77	3,584194	-75,955722
78	3,797722	-75,840028
79	3,570944	-75,9741
80	3,709778	-75,728111
81	3,570944	-75,973194
82	3,801611	-75,839639
83	3,935444	-75,734556
84	3,829472	-75,852333
85	3,933833	-75,735722
86	3,719472	-75,898806
87	3,737861	-75,780056
88	3,683639	-75,706972
89	3,706556	-75,939722
90	3,636611	-75,955561
91	3,75225	-75,698722
92	3,829778	-75,855639
93	3,571667	-75,974139
94	3,634833	-75,960361
95	3,892167	-75,832306
96	3,705972	-75,944833
97	3,729639	-75,779139
98	3,755167	-75,698056
99	3,888889	-75,833667
100	3,823361	-75,857389
101	3,84175	-75,857889
102	3,7055	-75,935194
103	3,884667	-75,832889
104	3,734833	-75,779389
105	3,707861	-75,72425
106	3,601306	-75,913944
107	3,649639	-75,943222
108	3,812444	-75,833556
109	4,068417	-75,630667
