x;y
4,539;-75,256
4,541;-75,25
4,539;-75,249
4,56;-75,25
4,557;-75,251
4,556;-75,256
4,569;-75,244
4,566;-75,247
4,567;-75,245
4,614;-75,283
4,618;-75,292
4,623;-75,294
4,623;-75,292
4,64;-75,301
4,64;-75,295
4,662;-75,251
4,664;-75,249
4,669;-75,247
4,675;-75,239
4,597;-75,395
4,591;-75,408
4,259;-75,574
4,261;-75,571
4,264;-75,56
4,266;-75,555
4,274;-75,552
4,289;-75,543
4,071;-75,722
4,062;-75,721
4,068;-75,746
4,074;-75,741
4;-75,696
3,999;-75,715
4,022;-75,722
4,021;-75,719
4,026;-75,725
3,293;-75,883
3,291;-75,881
3,291;-75,913
3,287;-75,913
3,748;-74,659
3,778;-74,64
3,78;-74,644
3,778;-74,64
3,78;-74,637
3,778;-74,624
3,778;-74,62
4,1849;-75,4625
4,5306;-75,0018
4,5953;-75,3208
4,6009;-75,3021
