Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.18615E-10,0.000000024,0.000000053,0.995211268,0,0
2.99177E-10,0.000000054,0.000000134,0.994929577,0,0
4.85093E-9,0.000001676,0.000002166,0.983943662,0,0
5.80971E-9,0.000007593,0.000002594,0.98056338,0,0
7.90071E-9,0.000010767,0.000003527,0.97915493,0,0
2.16509E-8,0.000027755,0.000009666,0.976056338,0,0
1.17594E-7,0.000153455,0.000052501,0.971267606,0,0
1.50731E-7,0.000285137,0.000067295,0.968732394,0,0
2.79164E-7,0.002409896,0.000124631,0.938028169,0,0
3.895E-7,0.002678589,0.000173885,0.935774648,0,0
1.75312E-6,0.005096174,0.000782411,0.927887324,0,0
2.58695E-6,0.010052677,0.001154331,0.92056338,0,0
3.28882E-6,0.025554152,0.001467283,0.906197183,0,0
8.82982E-6,0.068883041,0.003934496,0.882816901,0,0
1.07405E-5,0.103920898,0.004783837,0.873239437,0,0
2.9536E-5,3.297282179,0.013100396,0.505633803,0,0
3.66378E-5,3.544052923,0.016224633,0.484507042,0,0
4.58981E-5,5.061782062,0.020283645,0.367887324,0,0
5.46126E-5,5.277601616,0.024088086,0.355492958,0,0
6.20029E-5,5.515342058,0.02730284,0.343661972,0,0
7.2641E-5,5.890079564,0.031911797,0.328450704,0,0
8.04311E-5,10.772330766,0.035273046,0.13915493,0,0
1.32281E-4,11.08937859,0.057349372,0.130140845,0,0
1.34534E-4,11.446762145,0.058297001,0.122535211,0,0
1.82621E-4,11.506540695,0.078299326,0.121408451,0,0
2.43409E-4,11.877224696,0.102978139,0.116056338,0,0
2.94055E-4,12.052675573,0.123033894,0.114084507,0,0
3.00495E-4,12.91586965,0.125551977,0.105915493,0,0
3.14548E-4,13.037473058,0.131021273,0.104788732,0,0
3.64159E-4,13.32552752,0.150057387,0.102253521,0,0
3.89566E-4,13.837890949,0.159644366,0.098309859,0,0
4.50136E-4,14.11664439,0.182065107,0.096338028,0,0
5.96356E-4,14.288883794,0.233756878,0.095492958,0.044444444,0
5.96356E-4,15.243053873,0.233756878,0.090704225,0.044444444,0
6.02919E-4,15.303345759,0.235998676,0.090704225,0.066666667,0
6.26952E-4,15.968959802,0.244152639,0.087605634,0.066666667,0
6.52793E-4,16.034239124,0.252823029,0.087323944,0.088888889,0
6.60892E-4,18.58094258,0.255519948,0.076338028,0.088888889,0
6.81825E-4,19.114136038,0.262445198,0.074084507,0.088888889,0
8.17073E-4,20.375825476,0.305664021,0.069014085,0.111111111,0
8.92544E-4,22.099225615,0.328670207,0.063098592,0.111111111,0
9.05524E-4,22.63604983,0.332549718,0.061408451,0.111111111,0
1.10693E-3,22.837295274,0.389948613,0.06084507,0.133333333,0
1.12406E-3,23.283337746,0.39459703,0.05971831,0.155555556,0
1.19575E-3,24.914124353,0.413667762,0.055774648,0.177777778,0
1.30292E-3,25.044416284,0.441061389,0.055492958,0.177777778,0
1.32137E-3,29.51689875,0.445647476,0.045915493,0.177777778,0
1.33972E-3,29.783467885,0.450169292,0.045352113,0.2,0
1.42905E-3,30.060344962,0.471668253,0.044788732,0.2,0
1.6314E-3,30.652200678,0.517305449,0.043661972,0.2,0
1.66733E-3,30.982073804,0.524988603,0.043098592,0.2,0
1.70828E-3,31.152902092,0.53359396,0.042816901,0.2,0
1.71832E-3,32.008047398,0.535679696,0.041408451,0.2,0
1.71832E-3,32.523543854,0.535679696,0.04028169,0.2,0
1.86375E-3,32.893085693,0.564870638,0.04,0.222222222,0
1.88765E-3,33.081850341,0.569487677,0.03971831,0.222222222,0
1.89319E-3,33.271169043,0.570551316,0.03943662,0.222222222,0
1.96691E-3,33.65717863,0.584456376,0.038873239,0.244444444,0
1.96691E-3,34.050560401,0.584456376,0.038028169,0.244444444,0
2.00557E-3,34.842585644,0.591567801,0.037183099,0.266666667,0
2.07445E-3,35.45114452,0.603936187,0.036338028,0.266666667,0
2.11404E-3,35.869993229,0.610876266,0.035774648,0.288888889,0
2.1287E-3,36.717075644,0.613414902,0.034647887,0.288888889,0
2.13256E-3,36.930331459,0.614080036,0.034366197,0.288888889,0
2.14289E-3,37.14462049,0.61585619,0.034084507,0.288888889,0
2.14289E-3,37.787487585,0.61585619,0.032957746,0.288888889,0
2.25915E-3,38.013402135,0.635286387,0.032957746,0.311111111,0
2.32745E-3,38.475713333,0.646241479,0.032394366,0.311111111,0
2.35117E-3,38.71083064,0.649967927,0.032112676,0.333333333,0
2.48525E-3,38.959355941,0.670306976,0.031830986,0.333333333,0
2.62953E-3,39.470834577,0.690875224,0.031267606,0.333333333,0
2.63054E-3,40.259795236,0.691014104,0.030422535,0.333333333,0
2.63602E-3,40.523396993,0.69176885,0.030140845,0.333333333,0
2.66712E-3,40.790109285,0.696019865,0.029859155,0.333333333,0
2.78416E-3,41.068525183,0.711495941,0.029577465,0.333333333,0
2.78895E-3,41.34741977,0.712111877,0.029295775,0.333333333,0
2.81416E-3,43.581097979,0.71533469,0.027042254,0.333333333,0
2.81795E-3,44.144309292,0.715816125,0.026478873,0.333333333,0
2.81795E-3,44.42610451,0.715816125,0.025915493,0.333333333,0
2.88299E-3,44.71440302,0.723948854,0.025915493,0.355555556,0
2.91594E-3,45.582593648,0.727980296,0.025070423,0.355555556,0
2.98869E-3,46.464650067,0.736674453,0.024225352,0.355555556,0
2.98968E-3,46.76361848,0.736791067,0.023943662,0.355555556,0
3.14759E-3,47.078377375,0.754708272,0.023661972,0.377777778,0
3.15733E-3,47.708869407,0.755772902,0.023098592,0.377777778,0
3.19061E-3,48.027930523,0.759374916,0.022816901,0.4,0
3.25865E-3,48.35379571,0.766574759,0.022535211,0.4,0
3.28978E-3,48.682773392,0.769796092,0.022253521,0.4,0
3.36289E-3,49.019062784,0.777189683,0.021971831,0.4,0
3.56203E-3,49.71155474,0.796143916,0.021408451,0.4,0
3.56203E-3,50.067757305,0.796143916,0.02084507,0.4,0
3.56284E-3,50.424041382,0.79621809,0.02084507,0.422222222,0
3.58967E-3,51.495576706,0.79864468,0.02,0.422222222,0
3.59644E-3,51.855220769,0.799252282,0.01971831,0.422222222,0
3.61342E-3,52.216562694,0.800768289,0.01943662,0.444444444,0
3.65993E-3,52.582556095,0.804863163,0.01915493,0.444444444,0
3.71064E-3,52.953619674,0.80923083,0.018873239,0.444444444,0
3.71835E-3,53.325454369,0.809886482,0.018591549,0.466666667,0
3.97104E-3,53.722558341,0.830169416,0.018309859,0.466666667,0
4.10881E-3,54.133439148,0.840300838,0.018028169,0.466666667,0
4.18692E-3,55.78477359,0.845774318,0.016901408,0.466666667,0
