Predictor variable,Categorical,Sample average
Forest,false,1.0
Mean_Nubosity_NicheM,false,9471.955555555556
bio10_23_NicheM,false,92.86666666666666
bio11_23_NicheM,false,88.0
bio12_23_NicheM,false,1753.3333333333333
bio13_23_NicheM,false,231.64444444444445
bio14_23_NicheM,false,74.97777777777777
bio15_23_NicheM,false,34.71111111111111
bio16_23_NicheM,false,624.6
bio17_23_NicheM,false,282.8666666666667
bio18_23_NicheM,false,455.8666666666667
bio19_23_NicheM,false,603.3333333333334
bio1_23_NicheM,false,91.0
bio2_23_NicheM,false,87.95555555555555
bio3_23_NicheM,false,90.15555555555555
bio4_23_NicheM,false,206.17777777777778
bio5_23_NicheM,false,139.64444444444445
bio6_23_NicheM,false,42.8
bio7_23_NicheM,false,96.84444444444445
bio8_23_NicheM,false,88.31111111111112
bio9_23_NicheM,false,91.31111111111112
